,"Код
Инструмента","Наименование
Инструмента","Базис
поставки","Объем
Договоров
в единицах
измерения","Обьем
Договоров,
руб.","Изменение рыночной
цены к цене
предыдуего дня",Col6,"Цена (за единицу измерения), руб.",Col8,Col9,Col10,"Цена в Заявках (за единицу
измерения)",Col12,"Количество
Договоров,
шт."
0,,,,,,Руб.,%,Минимальная,Средневзвешенная,Максимальная,Рыночная,"Лучшее
предложение","Лучший
спрос",
1,AIE6SCI005A,"Бензин (АИ-95-К5) Евро 6, НБ Адлерская (самовывоз
автотранспортом)",НБ Адлерская,5,409920,976,"1,19",81984,81984,81984,81984,81984,81984,1
2,AIE6TIC005A,"Бензин (АИ-95-К5) Евро 6, НБ Тихорецкая (самовывоз
автотранспортом)",НБ Тихорецкая,-,-,-,-,-,-,-,-,81984,-,-
3,A001BDK060C,"Бензин (АИ-100-К5), БП Владикавказ (ст. назначения)",БП Владикавказ,-,-,-,-,-,-,-,-,-,10000,-
4,A001BND060C,"Бензин (АИ-100-К5), БП Краснодар (ст. назначения)",БП Краснодар,-,-,-,-,-,-,-,-,-,10000,-
5,A001CUU025A,"Бензин (АИ-100-К5), НБ Чулман-транс (самовывоз
автотранспортом)",НБ Чулман-транс,-,-,-,-,-,-,-,-,-,10000,-
6,A001KRU060F,"Бензин (АИ-100-К5), ст. Круглое Поле (ст. отправления)",ст. Круглое Поле,-,-,-,-,-,-,-,-,-,10000,-
7,A001OOV060C,"Бензин (АИ-100-К5), БП Ростов 1 (ст. назначения)",БП Ростов 1,-,-,-,-,-,-,-,-,-,10200,-
8,A10KZLY060W,"Бензин (АИ-100-К5)-Евро, ст. Злынка-Экспорт (промежуточная
станция)",ст. Злынка-Экспорт,-,-,-,-,-,-,-,-,96500,90000,-
9,A100ANK060F,"Бензин (АИ-100-К5), Ангарск-группа станций (ст. отправления)","Ангарск-группа
станций",-,-,-,-,-,-,-,104000,-,-,-
10,A100NFT005A,"Бензин (АИ-100-К5), НБ Ростовская (самовывоз
автотранспортом)",НБ Ростовская,-,-,-,-,-,-,-,-,115700,-,-
11,A100SCI005A,"Бензин (АИ-100-К5), НБ Адлерская (самовывоз
автотранспортом)",НБ Адлерская,5,559980,-,-,111996,111996,111996,111996,111996,111996,1
12,A100UFM060F,"Бензин (АИ-100-К5), Уфа-группа станций (ст. отправления)",Уфа-группа станций,-,-,-,-,-,-,-,90500,-,90953,-
13,A106PDK060F,"Бензин (АИ-100-К5) EURO-6, Предкомбинатская-группа
станций (ст. отправления)","Предкомбинатская-
группа станций",-,-,-,-,-,-,-,-,-,93000,-
14,A692ABS005A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Абаканская (самовывоз автотранспортом)",НБ Абаканская,-,-,-,-,-,-,-,-,69000,-,-
15,A692ACH005A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Ачинский НПЗ (самовывоз автотранспортом)",Ачинский НПЗ,-,-,-,-,-,-,-,-,67000,65000,-
16,A692ALL060J,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, ст.
Аллагуват (ст. отправления ОТП)",ст. Аллагуват,4020,260190060,28,"0,04",64702,64724,64730,64724,64702,64730,59
17,A692ANK060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023),
Ангарск-группа станций (ст. отправления)","Ангарск-группа
станций",2160,138544080,23,"0,04",64124,64141,64147,64141,64123,64147,20
18,A692ASO005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, АСН
Сургутский ЗСК (самовывоз автотранспортом)",АСН Сургутский ЗСК,30,1950000,-,-,65000,65000,65000,65000,65000,65000,1
19,A692AVM005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, СН
КНПЗ (самовывоз автотранспортом)",СН КНПЗ,-,-,-,-,-,-,-,78500,77000,-,-
20,A692BIN060J,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Биклянь (ст. отправления ОТП)",ст. Биклянь,-,-,-,-,-,-,-,62966,-,62972,-
21,A692BTC060J,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, БП
(б.т.ц.) Осенцы (ст. отправления ОТП)",БП (б.т.ц.) Осенцы,720,45926520,19,"0,03",63774,63787,63792,63787,63774,63793,12
22,A692BUH010A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Бузулукская (самовывоз автотранспортом)",НБ Бузулукская,-,-,-,-,-,-,-,71000,-,-,-
23,A692CIL060F,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, ст.
Цильна (ст. отправления)",ст. Цильна,-,-,-,-,-,-,-,-,-,65500,-
24,A692CIY005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Цимлянская (самовывоз автотранспортом)",НБ Цимлянская,-,-,-,-,-,-,-,-,77000,-,-
25,A692DZM060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Дземги (ст. отправления)",ст. Дземги,600,42914400,19,"0,03",71512,71524,71530,71524,71500,71531,9
26,A692FIA005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, Усть-
Кутский цех (самовывоз автотранспортом)",Усть-Кутский цех,-,-,-,-,-,-,-,-,75000,-,-
27,A692FME025A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Ростовская, Фирма Леонтий (самовывоз автотранспортом)","НБ Ростовская,
Фирма Леонтий",-,-,-,-,-,-,-,-,76000,-,-
28,A692INF025A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Информат (самовывоз автотранспортом)",НБ Информат,-,-,-,-,-,-,-,-,65300,-,-
29,A692KDK005A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Краснодарская (самовывоз автотранспортом)",НБ Краснодарская,-,-,-,-,-,-,-,-,78202,-,-
30,A692KDM005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Кудьминская (самовывоз автотранспортом)",НБ Кудьминская,25,1725000,-,-,69000,69000,69000,69000,69000,69000,1
31,A692KGY005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Когалым (самовывоз автотранспортом)",НБ Когалым,15,1120950,-,-,74730,74730,74730,74730,74730,74730,1
32,A692KLT005A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Култукский цех (самовывоз автотранспортом)",Култукский цех,-,-,-,-,-,-,-,-,73101,-,-
33,A692KOB060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Комбинатская (ст. отправления)",ст. Комбинатская,1380,85022640,19,"0,03",61598,61611,61616,61611,61597,61617,18
34,A692KOB060J,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Комбинатская (ст. отправления ОТП)",ст. Комбинатская,-,-,-,-,-,-,-,-,-,61701,-
35,A692LHI005A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Лиховская (самовывоз автотранспортом)",НБ Лиховская,-,-,-,-,-,-,-,-,77000,-,-
36,A692LTN025A,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), НБ
Латная (самовывоз автотранспортом)",НБ Латная,-,-,-,-,-,-,-,-,73500,-,-
37,A692LUL060J,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023),
Волгоград-группа станций (ст. отправления ОТП)","Волгоград-группа
станций",900,60844800,23,"0,03",67589,67605,67612,67605,67582,67612,15
38,A692LUP060J,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023),
Пермь (ст. отправления ОТП)",Пермь,-,-,-,-,-,-,-,-,-,63700,-
39,A692MEO005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Мегион-150 БП (самовывоз автотранспортом)",Мегион-150 БП,-,-,-,-,-,-,-,-,65500,-,-
40,A692MID005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Минеральные воды (самовывоз автотранспортом)",Минеральные воды,-,-,-,-,-,-,-,75500,-,-,-
41,A692MIE005A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Миллеровская (самовывоз автотранспортом)",НБ Миллеровская,-,-,-,-,-,-,-,-,77000,-,-
42,A692MOB005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Московская обл. Северо-Восток БП (самовывоз
автотранспортом)","Московская обл.
Северо-Восток БП",-,-,-,-,-,-,-,70500,70500,70000,-
43,A692NFT005A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Ростовская (самовывоз автотранспортом)",НБ Ростовская,-,-,-,-,-,-,-,-,77000,-,-
